,variable,ocurrencias,wr_long_30m,wr_short_30m,pnl_mean_30m,wr_long_60m,wr_short_60m,pnl_mean_60m,wr_long_120m,wr_short_120m,pnl_mean_120m,best_wr,has_edge
152,30M_cross_bear_ema21,17251,0.5135,0.4798,-0.0061,0.5315,0.4626,0.0064,0.5122,0.4843,0.0048,0.5315,False
49,1W_fib05_reject_bear,23984,0.5213,0.4717,0.0355,0.5289,0.4661,0.0699,0.5314,0.4654,0.1413,0.5314,False
47,1W_fib0382_reject_bear,38377,0.5167,0.4756,0.0349,0.5273,0.4675,0.0705,0.5314,0.4654,0.1441,0.5314,False
192,15M_fib0382_in_zone,34701,0.5007,0.4895,0.0266,0.508,0.4844,0.0462,0.5314,0.4651,0.0762,0.5314,False
87,4H_stoch_A_bear,17407,0.4883,0.5015,-0.0122,0.4998,0.495,-0.0111,0.5304,0.4666,0.005,0.5304,False
36,1W_stoch_os,8639,0.4659,0.5298,0.0497,0.4814,0.5153,0.0918,0.4804,0.5183,0.1773,0.5298,False
112,1H_macd_e2_bull,10475,0.5035,0.4897,0.0122,0.511,0.4825,0.0198,0.5294,0.4669,0.1188,0.5294,False
117,1H_stoch_A_bear,16290,0.5179,0.4738,-0.0167,0.5194,0.476,-0.015,0.5293,0.4684,0.039,0.5293,False
55,1D_macd_e2_bull,13359,0.5014,0.4901,0.0042,0.5194,0.475,0.0188,0.5292,0.4678,0.0479,0.5292,False
107,4H_fib0618_in_zone,14751,0.5079,0.4835,0.0198,0.5182,0.4757,0.0419,0.5291,0.4682,0.0851,0.5291,False
200,15M_fib0618_in_zone,41276,0.5164,0.4732,0.0151,0.529,0.4636,0.0334,0.5291,0.4667,0.0483,0.5291,False
156,30M_cross_bear_sma200,4581,0.5093,0.4857,-0.0307,0.5014,0.4955,-0.0744,0.5287,0.4671,-0.0045,0.5287,False
221,5M_extreme_bull_sma200,38330,0.5105,0.481,0.0204,0.5216,0.4728,0.0278,0.5286,0.4687,0.0474,0.5286,False
43,1W_reject_bull_ema21,38901,0.5021,0.4871,-0.004,0.5167,0.4764,-0.0087,0.5281,0.4686,-0.0203,0.5281,False
109,4H_fib0618_reject_bear,19667,0.5006,0.4882,0.012,0.5151,0.4768,0.0272,0.528,0.4689,0.0425,0.528,False
188,15M_reject_bull_sma200,8630,0.4976,0.4956,-0.0009,0.4954,0.5002,0.0169,0.5278,0.4698,0.0193,0.5278,False
60,1D_stoch_A_bear,18127,0.49,0.5002,-0.0257,0.474,0.5189,-0.052,0.4691,0.5276,-0.1028,0.5276,False
103,4H_fib0382_conf_ema21,656,0.5274,0.4649,-0.1519,0.4878,0.5076,-0.3065,0.5046,0.4954,-0.618,0.5274,False
15,1M_cross_bear_sma200,5270,0.5097,0.4805,-0.0018,0.5271,0.4683,0.0132,0.5209,0.4755,0.0279,0.5271,False
159,30M_extreme_bull_sma200,33760,0.5137,0.4754,0.0032,0.5271,0.4654,0.0151,0.5112,0.4815,0.0356,0.5271,False
114,1H_stoch_ob,76591,0.52,0.4701,0.0127,0.5267,0.4671,0.0197,0.5259,0.4705,0.0237,0.5267,False
66,1D_reject_bear_ema21,37108,0.4811,0.5108,-0.0177,0.4736,0.5206,-0.0352,0.4703,0.5265,-0.0793,0.5265,False
100,4H_fib0382_in_zone,7247,0.5264,0.4645,0.0231,0.5181,0.4784,0.037,0.5204,0.478,0.0059,0.5264,False
135,1H_fib05_reject_bull,32356,0.5047,0.4886,-0.0056,0.5085,0.4863,-0.0068,0.5263,0.471,0.0256,0.5263,False
171,30M_fib0618_reject_bear,22605,0.4969,0.4956,-0.0016,0.469,0.5258,-0.0108,0.4899,0.5075,0.0127,0.5258,False
202,15M_fib0618_reject_bear,33006,0.5151,0.4772,0.0161,0.522,0.4724,0.0248,0.5255,0.4715,0.0558,0.5255,False
71,1D_fib0382_reject_bull,25927,0.5136,0.476,0.0135,0.5213,0.4715,0.0256,0.5245,0.4722,0.0391,0.5245,False
162,30M_fib0382_reject_bull,27243,0.506,0.4872,0.0042,0.5113,0.4831,0.0141,0.5238,0.472,0.0233,0.5238,False
211,5M_stoch_B_bull,13503,0.5047,0.4857,0.0118,0.5106,0.4831,0.0384,0.5237,0.4736,0.0506,0.5237,False
146,30M_stoch_os,43543,0.4896,0.5025,-0.0094,0.4955,0.4995,-0.0074,0.5226,0.4741,-0.0136,0.5226,False
78,1D_fib0618_reject_bull,35448,0.501,0.4884,0.0012,0.5155,0.4786,0.0048,0.5223,0.4747,0.0084,0.5223,False
177,15M_stoch_os,44668,0.5083,0.4836,0.0157,0.5139,0.4808,0.027,0.5222,0.4748,0.0392,0.5222,False
